# event_id Enu_MeV Ee_MeV Te_MeV cosThetaE thetaE_deg eDirX eDirY eDirZ Tn_keV cosThetaN thetaN_deg nDirX nDirY nDirZ
83 3.4288467 2.1337822 1.6227833 0.90237852 25.527503 -0.39325337 0.17625205 -0.90237852 1.7174898 0.8678353 29.791946 0.45339667 -0.20320765 -0.8678353
84 2.0516018 0.75639965 0.24540074 0.45213764 63.119084 0.88844842 0.078936441 -0.45213764 1.8551124 0.96385063 15.452723 -0.2653977 -0.023579928 -0.96385063
85 2.8945352 1.5912937 1.0802948 -0.89920942 154.05434 -0.43511055 0.045839068 0.89920942 9.8945126 0.98817681 8.8192929 0.15247479 -0.016063279 -0.98817681
86 3.3589941 2.0563935 1.5453945 -0.15530846 98.934686 -0.94346353 -0.29284099 0.15530846 9.2536484 0.88122645 28.209335 0.45144773 0.14012455 -0.88122645
87 5.7033907 4.3659228 3.8549239 -0.62314474 128.54615 -0.25238635 0.74026466 0.62314474 44.120865 0.92736812 21.9718 0.12073854 -0.35413356 -0.92736812
88 3.6758258 2.3667311 1.8557322 -0.62223414 128.47947 0.41769548 -0.66208395 0.62223414 15.74773 0.94274723 19.481843 -0.17795003 0.2820664 -0.94274723
89 2.974626 1.6734126 1.1624137 -0.35238731 110.6334 -0.20358157 -0.91344279 0.35238731 7.866463 0.92141498 22.866173 0.084529969 0.37927445 -0.92141498
90 4.2038368 2.8961039 2.385105 -0.047000602 92.693929 -0.4218595 0.90544216 0.047000602 14.385876 0.83597527 33.282473 0.23175874 -0.4974266 -0.83597527
91 5.3819578 4.0661311 3.5551322 0.073470051 85.78668 -0.97764914 -0.19698811 -0.073470051 22.479616 0.78427825 38.346025 0.60818623 0.12254443 -0.78427825
92 5.1596995 3.8443549 3.333356 5.5025305e-05 89.996847 -0.99601254 0.089213302 -5.5025305e-05 21.997583 0.80442155 36.445572 0.59169011 -0.052997956 -0.80442155
93 5.7620096 4.446514 3.9355151 0.22121432 77.219634 -0.71765124 -0.66033394 -0.22121432 22.148586 0.74320007 41.995269 0.4923564 0.45303292 -0.74320007
94 3.1550707 1.8591806 1.3481817 0.74217257 42.083184 -0.66576921 0.077014455 -0.74217257 2.5430174 0.83643048 33.234915 0.54444247 -0.062979692 -0.83643048
95 2.1555988 0.8602291 0.34923019 0.44441301 63.614211 -0.73510291 -0.51197733 -0.44441301 2.0226975 0.94808216 18.543558 0.26096867 0.18175692 -0.94808216
96 6.6638649 5.3185984 4.8075995 -0.3439607 110.11837 0.80891718 -0.47680607 0.3439607 51.919486 0.86282515 30.364714 -0.43548093 0.25668877 -0.86282515
97 2.4851726 1.186434 0.67543506 -0.52118354 121.41167 -0.42941222 -0.73754516 0.52118354 5.3916365 0.95775203 16.714044 0.14470409 0.24853928 -0.95775203
98 6.3873581 5.0309332 4.5199343 -0.80257832 143.37702 -0.38205588 0.45814992 0.80257832 63.07796 0.96120511 16.011759 0.17665713 -0.21184192 -0.96120511
99 4.4010798 3.1009181 2.5899192 0.59184837 53.711716 0.48517526 -0.64367731 -0.59184837 6.814688 0.72444495 43.577306 -0.41492145 0.55047225 -0.72444495
100 3.8907913 2.5784936 2.0674947 -0.70456268 134.79422 0.46000321 0.54035959 0.70456268 18.9507 0.95346072 17.548755 -0.19544918 -0.22959152 -0.95346072
101 4.7852465 3.4874618 2.9764629 0.80151184 36.725284 -0.57903763 -0.14931238 -0.80151184 4.4377129 0.69966554 45.599824 0.69183933 0.17839976 -0.69966554
102 2.7604209 1.4653337 0.95433477 0.82231413 34.682878 -0.47416615 -0.31458853 -0.82231413 1.7402292 0.90183471 25.59971 0.36004587 0.23887471 -0.90183471
103 4.2935258 2.9972126 2.4862137 0.85102457 31.676717 -0.49282348 -0.18133449 -0.85102457 2.9661732 0.75399746 41.062153 0.61647044 0.2268304 -0.75399746
104 5.0562248 3.7540467 3.2430478 0.60690794 52.633739 -0.39957744 -0.68702301 -0.60690794 8.8311524 0.68758918 46.560427 0.365052 0.62766087 -0.68758918
105 2.9775808 1.6737965 1.1627975 -0.85361936 148.60754 -0.36260284 -0.37396947 0.85361936 10.437347 0.98217438 10.834458 0.13084958 0.13495137 -0.98217438
106 2.1056584 0.80862999 0.29763108 -0.78236455 141.47758 0.047721389 -0.62098984 0.78236455 3.6813736 0.98888428 8.5508551 -0.011392618 0.14825009 -0.98888428
107 2.903001 1.6081996 1.0972007 0.90565344 25.088565 -0.35687924 -0.22897391 -0.90565344 1.4544275 0.92039333 23.016349 0.32908352 0.21114016 -0.92039333
108 5.9184166 4.5899241 4.0789252 -0.18084105 100.41875 0.66524637 -0.72439201 0.18084105 35.145508 0.83258282 33.635023 -0.37465758 0.40796759 -0.83258282
109 5.3516701 4.0325877 3.5215888 -0.08070586 94.62914 0.98646799 -0.14271465 0.08070586 25.73546 0.81822253 35.092744 -0.5689781 0.082315404 -0.81822253
110 3.8163243 2.5195412 2.0085422 0.75385748 41.074361 -0.08761752 0.65116977 -0.75385748 3.436116 0.77002292 39.644053 0.085080927 -0.63231791 -0.77002292
111 3.9480996 2.6343387 2.1233398 -0.77586774 140.88377 -0.49030198 0.39703049 0.77586774 20.413928 0.96448232 15.316298 0.20528278 -0.16623127 -0.96448232
112 6.8951247 5.5529945 5.0419955 -0.16828094 99.687885 -0.98004186 -0.10582755 0.16828094 48.783259 0.82057737 34.857368 0.56823219 0.061359235 -0.82057737
113 3.9226668 2.6270147 2.1160157 0.87527768 28.922144 0.3152396 0.36676011 -0.87527768 2.3051213 0.80096819 36.777343 -0.39025651 -0.45403724 -0.80096819
114 3.6016658 2.2942618 1.7832629 -0.51541591 121.02526 0.46605131 0.71912629 0.51541591 14.05697 0.92747276 21.955769 -0.20334239 -0.31376128 -0.92747276
115 3.4572581 2.1495477 1.6385488 -0.7289371 136.79736 0.14209111 0.66967217 0.7289371 14.363441 0.96118063 16.016842 -0.05726975 -0.26991104 -0.96118063
116 4.3054839 3.0095045 2.4985056 0.87654764 28.771329 0.084586133 -0.47382425 -0.87654764 2.6323961 0.76689871 39.923794 -0.11278409 0.63178012 -0.76689871
117 3.0056142 1.7079271 1.1969282 0.36182345 68.787778 0.93126949 -0.042672433 -0.36182345 4.3400877 0.84652993 32.163772 -0.53178315 0.024367255 -0.84652993
118 2.9564641 1.6593564 1.1483575 0.44702974 63.446726 -0.80047468 -0.39925519 -0.44702974 3.7607748 0.84706933 32.10567 0.47560551 0.23721921 -0.84706933
119 6.7145811 5.418443 4.9074441 0.95163532 17.89237 0.28714616 0.10925793 -0.95163532 2.7910631 0.69029837 46.346268 -0.67622771 -0.25730187 -0.69029837
120 3.5558894 2.2604875 1.7494886 0.87040832 29.493876 0.47054485 0.14483405 -0.87040832 2.0548772 0.83409966 33.477795 -0.5272048 -0.16227402 -0.83409966
121 3.462364 2.1620808 1.6510819 0.23336605 76.504673 -0.57683543 -0.78281618 -0.23336605 6.9361788 0.82410658 34.501984 0.33601744 0.45600508 -0.82410658
122 3.7118464 2.4012424 1.8902435 -0.74307159 137.99373 -0.58158169 -0.33107 0.74307159 17.257024 0.96098778 16.056839 0.24037251 0.13683396 -0.96098778
123 5.6138916 4.2737153 3.7627164 -0.78921398 142.11212 -0.59791692 -0.14013085 0.78921398 46.829366 0.96023997 16.211028 0.27181084 0.063702972 -0.96023997
124 4.5049998 3.1803544 2.6693555 -0.99497069 174.25124 -0.043288178 -0.090329705 0.99497069 31.298401 0.99915159 2.360318 0.017798032 0.037139262 -0.99915159
125 4.6906961 3.3932861 2.8822872 0.81416475 35.495142 -0.11601316 -0.56892593 -0.81416475 4.0630513 0.70922442 44.828153 0.1408586 0.69076739 -0.70922442
126 3.8526351 2.5574327 2.0464338 0.91328763 24.036293 0.38684802 0.12749238 -0.91328763 1.8554531 0.83745508 33.12765 -0.51904473 -0.17106007 -0.83745508
127 4.7724217 3.449998 2.9389991 -0.60835109 127.47037 -0.7935602 -0.013082963 0.60835109 29.076749 0.92993425 21.575433 0.36767588 0.0060616571 -0.92993425
128 2.6933984 1.3942609 0.88326203 -0.27345846 105.87017 -0.62873871 -0.72794787 0.27345846 5.7904425 0.92545842 22.262418 0.2476361 0.28671079 -0.92545842
129 4.1012195 2.793545 2.2825461 -0.10869716 96.240218 0.37316142 -0.92137695 0.10869716 14.327477 0.84970409 31.8205 -0.19792576 0.48870067 -0.84970409
130 5.6527969 4.3140063 3.8030074 -0.70766947 135.04561 0.40400018 -0.57964453 0.70766947 45.443592 0.94429466 19.214231 -0.18817937 0.26999281 -0.94429466
131 4.8413701 3.5414358 3.0304369 0.68820252 46.51201 -0.0062068208 0.72549209 -0.68820252 6.5872555 0.69088153 46.30007 0.0061849999 -0.72294153 -0.69088153
132 5.7354328 4.3873805 3.8763816 -0.9949684 174.24994 0.045948622 -0.08903144 0.9949684 54.705385 0.99906172 2.4822031 -0.019862342 0.038485875 -0.99906172
133 3.1484916 1.8519593 1.3409604 0.63331008 50.705241 -0.1367988 0.76171152 -0.63331008 3.1852738 0.82631732 34.277724 0.099555403 -0.554336 -0.82631732
134 3.5101506 2.1997594 1.6887605 -0.99263204 173.0405 0.10692662 -0.056994093 0.99263204 17.044181 0.99894298 2.6346222 -0.040564056 0.021621479 -0.99894298
135 3.0759054 1.7709473 1.2599484 -0.89723484 153.79695 0.34653374 -0.27364943 0.89723484 11.611066 0.98699657 9.249929 -0.12615069 0.099618189 -0.98699657
136 2.6584543 1.3585294 0.84753052 -0.54713281 123.17053 -0.21801281 0.80815599 0.54713281 6.577902 0.95385703 17.47329 0.078204537 -0.28989794 -0.95385703
137 3.2365886 1.9326356 1.4216367 -0.48828317 119.2278 0.85500483 -0.17477496 0.48828317 10.606083 0.93094179 21.417898 -0.35776939 0.073133074 -0.93094179
138 3.3793111 2.079603 1.5686041 0.26078969 74.883075 -0.34836063 -0.90035193 -0.26078969 6.3611576 0.82616653 34.293061 0.20331088 0.52546508 -0.82616653
139 4.6756045 3.3625689 2.85157 -0.12576706 97.225055 0.76146045 0.63589357 0.12576706 19.688578 0.83947461 32.915319 -0.41708855 -0.34830952 -0.83947461
140 3.056262 1.754408 1.2434091 -0.36721442 111.54393 0.031613893 0.92959891 0.36721442 8.5069441 0.92030907 23.028692 -0.013296012 -0.39096603 -0.92030907
141 5.5966697 4.2717218 3.7607229 -0.20408944 101.7762 -0.21561724 0.95491188 0.20408944 31.600882 0.84132665 32.719523 0.11905274 -0.52725317 -0.84132665
142 2.9468863 1.6449842 1.1339853 -0.52953229 121.97386 -0.81128812 -0.24780463 0.52953229 8.5551648 0.94345354 19.360134 0.31704482 0.096840042 -0.94345354
143 5.5439053 4.2143302 3.7033313 -0.41655221 114.6171 0.080555623 0.90553578 0.41655221 36.228099 0.88651462 27.561508 -0.040999504 -0.46088053 -0.88651462
144 5.2237053 3.9096528 3.3986539 0.088229383 84.938247 0.74677303 0.65920074 -0.088229383 20.705501 0.78433465 38.340817 -0.46506532 -0.41052821 -0.78433465
145 4.1437832 2.826481 2.3154821 -0.85838114 149.1353 -0.042282998 0.51126702 0.85838114 23.955213 0.97697216 12.31973 0.017585904 -0.21264086 -0.97697216
146 3.939646 2.6266 2.1156011 -0.71994555 136.04999 0.50967355 0.4710746 0.71994555 19.699053 0.95553861 17.149502 -0.21654003 -0.20014088 -0.95553861
147 3.2312786 1.9351188 1.4241198 0.71631366 44.249038 -0.64102055 -0.27565811 -0.71631366 2.8128125 0.82404102 34.508614 0.5204481 0.22380833 -0.82404102
148 3.3202622 2.0148572 1.5038583 -0.59666164 126.63118 -0.23585683 0.76705048 0.59666164 12.057986 0.94418994 19.232453 0.096812807 -0.31485334 -0.94418994
149 5.2153892 3.917916 3.406917 0.85236889 31.529735 0.0094586499 0.52285544 -0.85236889 4.1262579 0.68394619 46.847213 -0.013195355 -0.72941312 -0.68394619
150 3.6747474 2.3706223 1.8596234 -0.077559619 94.448306 0.85921227 -0.50570623 0.077559619 10.778118 0.85794961 30.912861 -0.44274009 0.26058336 -0.85794961
151 4.4982743 3.1948322 2.6838333 0.39656777 66.636212 0.13940873 0.90735837 -0.39656777 10.095035 0.74645628 41.715665 -0.10105318 -0.65771672 -0.74645628
152 4.4947912 3.1704249 2.659426 -0.98758443 170.96202 -0.016734271 -0.15619523 0.98758443 31.019305 0.99790686 3.707771 0.0068888679 0.064299681 -0.99790686
153 4.3684941 3.0521644 2.5411655 -0.5615857 124.16553 0.79295147 -0.23632492 0.5615857 22.982712 0.92493824 22.340957 -0.36428318 0.10856805 -0.92493824
154 2.9842799 1.6849526 1.1739537 0.02847366 88.368359 0.72585765 -0.68725536 -0.02847366 5.9803519 0.87763244 28.641928 -0.34806954 0.32955863 -0.87763244
