# event_id Enu_MeV Ee_MeV Te_MeV cosThetaE thetaE_deg eDirX eDirY eDirZ Tn_keV cosThetaN thetaN_deg nDirX nDirY nDirZ
123 3.9742158 2.6793676 2.1683687 0.95139733 17.936701 -0.27847652 0.13150645 -0.95139733 1.5011808 0.87609398 28.825286 0.43597257 -0.20588165 -0.87609398
124 3.7150241 2.4042055 1.8932066 -0.76211475 139.65099 -0.20259427 0.61492818 0.76211475 17.471646 0.9638904 15.44417 0.083329024 -0.25292603 -0.9638904
125 4.2903213 2.9865952 2.4755963 0.3013974 72.458446 -0.69849994 -0.64904348 -0.3013974 10.379154 0.77160895 39.501408 0.46598269 0.43298933 -0.77160895
126 4.471204 3.1623199 2.651321 0.023290735 88.665418 -0.62029908 -0.78401951 -0.023290735 15.537056 0.81564852 35.348464 0.35897001 0.4537158 -0.81564852
127 4.302935 2.9930657 2.4820668 -0.14552768 98.367837 -0.45876762 0.87655802 0.14552768 16.522308 0.85120385 31.65715 0.24336826 -0.46499881 -0.85120385
128 4.1950148 2.8981633 2.3871644 0.80017576 36.85311 -0.30452072 -0.51670677 -0.80017576 3.5044647 0.74524613 41.819756 0.33855096 0.57444882 -0.74524613
129 3.8447032 2.5336989 2.0227 -0.63095131 129.12034 -0.5410433 0.5560329 0.63095131 17.657276 0.942128 19.587947 0.23379912 -0.24027652 -0.942128
130 3.8804651 2.5843825 2.0733836 0.83082403 33.816521 0.47197444 -0.29490941 -0.83082403 2.7356219 0.78315417 38.449717 -0.5273462 0.32950801 -0.78315417
131 3.1764089 1.878178 1.3671791 0.36505751 68.588878 -0.92243892 0.12585489 -0.36505751 4.8838915 0.83131148 33.766304 0.55070474 -0.075136557 -0.83131148
132 2.3606988 1.0617506 0.55075168 -0.9192603 156.81818 -0.083401827 0.38471371 0.9192603 5.6011929 0.99357453 6.4986479 0.023979154 -0.1106104 -0.99357453
133 3.1669393 1.8609538 1.3499549 -0.91565612 156.29908 -0.37902517 0.13384243 0.91565612 12.638457 0.98898264 8.5128689 0.13958436 -0.04929042 -0.98898264
134 3.9109522 2.6085658 2.0975669 0.24460485 75.841517 -0.84061104 -0.48326136 -0.24460485 9.0393558 0.79808532 37.052349 0.52237375 0.30030899 -0.79808532
135 2.6845724 1.3856201 0.87462116 -0.23671845 103.69294 0.18942458 0.95293374 0.23671845 5.6053504 0.92244675 22.713558 -0.075281054 -0.37871462 -0.92244675
136 4.1651028 2.8679254 2.3569265 0.77063133 39.589385 0.38478798 -0.50800155 -0.77063133 3.8303943 0.7419748 42.100089 -0.40480174 0.53442394 -0.7419748
137 6.0788241 4.7338147 4.2228157 -0.64690467 130.30863 -0.73635176 -0.19824335 0.64690467 51.662404 0.93059036 21.472971 0.35347612 0.09516415 -0.93059036
138 2.6917423 1.3963813 0.88538241 0.7360355 42.605213 0.39171223 -0.55209897 -0.7360355 2.0140266 0.89192979 26.883246 -0.2616499 0.36878256 -0.89192979
139 2.3033831 1.0075779 0.49657903 0.36093306 68.84249 -0.87071874 0.33403023 -0.36093306 2.4581425 0.92623425 22.144788 0.3519397 -0.13501317 -0.92623425
140 3.4564899 2.1509831 1.6399842 -0.44519195 116.43562 -0.62627109 0.63999113 0.44519195 12.159874 0.91983286 23.098341 0.27438359 -0.28039465 -0.91983286
141 3.349642 2.0472821 1.5362832 -0.13020623 97.48151 -0.70927236 -0.69280521 0.13020623 9.0128926 0.87812767 28.582677 0.34224819 0.33430223 -0.87812767
142 7.1631114 5.8658403 5.3548414 0.9327009 21.140172 0.015154832 -0.3603323 -0.9327009 3.9240288 0.63070583 50.897784 -0.032609055 0.77533658 -0.63070583
143 4.2021108 2.8963891 2.3853902 0.10885742 83.750545 0.15493548 0.98190889 -0.10885742 12.374762 0.80837622 36.062414 -0.091750515 -0.58147203 -0.80837622
144 3.7943832 2.4887502 1.9777513 -0.14423179 98.292796 0.3727469 0.9166553 0.14423179 12.28602 0.86450981 30.173221 -0.18932816 -0.46559385 -0.86450981
145 3.0411052 1.7388384 1.2278395 -0.46313703 117.58972 0.27308408 0.84316616 0.46313703 8.9198291 0.93274214 21.133619 -0.11109145 -0.34300261 -0.93274214
146 4.0037564 2.6984223 2.1874234 0.028409747 88.372022 0.11031634 0.99349041 -0.028409747 11.987048 0.82916155 33.987295 -0.061692737 -0.55559439 -0.82916155
147 2.4106864 1.1145658 0.60356689 0.33196432 70.611955 -0.75298223 0.56817026 -0.33196432 2.7736089 0.91232901 24.170787 0.32684954 -0.24662758 -0.91232901
148 2.4946807 1.1948935 0.68389458 -0.86422671 149.79452 0.13216126 0.48543341 0.86422671 6.4401803 0.98766856 9.007242 -0.041126951 -0.15106088 -0.98766856
149 3.8812969 2.5716197 2.0606208 -0.46536347 117.73375 -0.57282781 -0.67476302 0.46536347 16.330252 0.91484958 23.815625 0.26132612 0.30782934 -0.91484958
150 4.7575166 3.4286701 2.9176711 -0.99042907 172.06656 -0.08644539 0.10759854 0.99042907 35.49956 0.99834171 3.3001073 0.036054274 -0.04487674 -0.99834171
151 2.6583016 1.357597 0.84659808 -0.76499901 139.9069 -0.059473908 -0.64127948 0.76499901 7.3575988 0.97587311 12.61146 0.020162742 0.21740546 -0.97587311
152 2.5757028 1.2800838 0.76908494 0.61912349 51.747845 0.51555348 0.59236029 -0.61912349 2.2719842 0.89497936 26.494221 -0.29287427 -0.33650648 -0.89497936
153 5.147341 3.8472114 3.3362125 0.72092547 43.869058 -0.57757694 0.38297694 -0.72092547 6.7826021 0.67206667 47.773227 0.61714653 -0.40921455 -0.67206667
154 3.86728 2.5640987 2.0530998 0.14619984 81.593235 -0.55742201 0.81725535 -0.14619984 9.8343019 0.81530419 35.382549 0.32627143 -0.47835764 -0.81530419
